occupation_group,month,occupation_label,ai_exposure,automation_prone,augmentation_prone,employment_share,source_note,post_chatgpt,high_exposure,treated,base_employment,employment_rate,log_wage
computer_math,2021-09-01,Computer and Mathematical,0.85,0.25,0.75,0.04,High exposure; augmentation-dominant,0,1,0,0.655,0.6498808376842227,10.833322913067832
architecture_engineering,2021-09-01,Architecture and Engineering,0.68,0.3,0.7,0.02,STEM augmentation pattern,0,1,0,0.6459999999999999,0.6771252364185896,10.851143957908263
life_physical_social,2021-09-01,Life Physical and Social Science,0.55,0.25,0.75,0.01,Research augmentation,0,1,0,0.655,0.6438992924588741,10.772133646738686
community_social,2021-09-01,Community and Social Service,0.35,0.15,0.85,0.02,Human interaction barrier,0,0,0,0.6729999999999999,0.6881428745767054,10.816079441080248
legal,2021-09-01,Legal,0.8,0.45,0.55,0.01,High LLM task exposure,0,1,0,0.619,0.6084978561985463,10.837749940619966
education,2021-09-01,Education Training Library,0.45,0.2,0.8,0.06,Partial automation; strong complementarity,0,0,0,0.6639999999999999,0.6922498781228132,10.880106726682481
arts_media,2021-09-01,Arts Design Entertainment Media,0.6,0.35,0.65,0.02,Generative AI exposure,0,1,0,0.637,0.6515898656276456,10.884161363242493
healthcare_practitioners,2021-09-01,Healthcare Practitioners,0.4,0.1,0.9,0.06,Low substitution; high complementarity,0,0,0,0.6819999999999999,0.6757100019693457,10.73838676183737
healthcare_support,2021-09-01,Healthcare Support,0.3,0.2,0.8,0.03,Physical + interpersonal tasks,0,0,0,0.6639999999999999,0.6402534968187049,10.836147884231952
protective_service,2021-09-01,Protective Service,0.25,0.15,0.85,0.02,Physical/security barrier,0,0,0,0.6729999999999999,0.6775961070929531,10.741977625388772
food_prep,2021-09-01,Food Preparation and Serving,0.2,0.25,0.75,0.07,Low cognitive; some automation,0,0,0,0.655,0.6318832418355853,10.771450006076794
building_grounds,2021-09-01,Building and Grounds Cleaning,0.18,0.3,0.7,0.03,Physical task barrier,0,0,0,0.6459999999999999,0.6236073046031081,10.704451750952025
personal_care,2021-09-01,Personal Care and Service,0.22,0.15,0.85,0.03,Interpersonal barrier,0,0,0,0.6729999999999999,0.6529595075672858,10.68330877856567
sales,2021-09-01,Sales and Related,0.55,0.4,0.6,0.09,Mixed automation/augmentation,0,1,0,0.6279999999999999,0.6148011488725875,10.756861897767093
office_admin,2021-09-01,Office and Administrative Support,0.75,0.55,0.45,0.12,High displacement risk (World Bank 2025),0,1,0,0.601,0.5770452366101053,10.82699242040411
farming,2021-09-01,Farming Fishing Forestry,0.15,0.2,0.8,0.01,Physical outdoor work,0,0,0,0.6639999999999999,0.6833097085413496,10.725245293226248
construction,2021-09-01,Construction and Extraction,0.2,0.25,0.75,0.05,Physical task barrier,0,0,0,0.655,0.6672262098585718,10.727146571154494
installation,2021-09-01,Installation Maintenance Repair,0.25,0.2,0.8,0.04,Skilled manual work,0,0,0,0.6639999999999999,0.694275206963347,10.810388916432732
production,2021-09-01,Production,0.35,0.45,0.55,0.06,Manufacturing automation exposure,0,0,0,0.619,0.6002526658269257,10.71766357502699
transportation,2021-09-01,Transportation and Material Moving,0.3,0.4,0.6,0.08,Mixed; logistics automation,0,0,0,0.6279999999999999,0.6319071320470183,10.687777788006054
management,2021-10-01,Management,0.72,0.35,0.65,0.06,Eloundou et al. 2023; high cognitive exposure,0,1,0,0.637,0.6552476781708185,10.788859290758715
business_financial,2021-10-01,Business and Financial,0.78,0.4,0.6,0.06,IMF 2024 advanced economy exposure,0,1,0,0.6279999999999999,0.6397658974388887,10.848628858901984
computer_math,2021-10-01,Computer and Mathematical,0.85,0.25,0.75,0.04,High exposure; augmentation-dominant,0,1,0,0.655,0.6484748901085612,10.793397371802168
architecture_engineering,2021-10-01,Architecture and Engineering,0.68,0.3,0.7,0.02,STEM augmentation pattern,0,1,0,0.6459999999999999,0.6831128573336621,10.80497183143271
life_physical_social,2021-10-01,Life Physical and Social Science,0.55,0.25,0.75,0.01,Research augmentation,0,1,0,0.655,0.6805480165835636,10.810071584746115
community_social,2021-10-01,Community and Social Service,0.35,0.15,0.85,0.02,Human interaction barrier,0,0,0,0.6729999999999999,0.698999125818432,10.725689271506466
legal,2021-10-01,Legal,0.8,0.45,0.55,0.01,High LLM task exposure,0,1,0,0.619,0.5948941783420851,10.929204655789398
education,2021-10-01,Education Training Library,0.45,0.2,0.8,0.06,Partial automation; strong complementarity,0,0,0,0.6639999999999999,0.6408112600478759,10.832735020470173
arts_media,2021-10-01,Arts Design Entertainment Media,0.6,0.35,0.65,0.02,Generative AI exposure,0,1,0,0.637,0.657115853474737,10.826974449600646
healthcare_practitioners,2021-10-01,Healthcare Practitioners,0.4,0.1,0.9,0.06,Low substitution; high complementarity,0,0,0,0.6819999999999999,0.6673689505079358,10.719812071398579
healthcare_support,2021-10-01,Healthcare Support,0.3,0.2,0.8,0.03,Physical + interpersonal tasks,0,0,0,0.6639999999999999,0.6387696315789924,10.752933284119381
protective_service,2021-10-01,Protective Service,0.25,0.15,0.85,0.02,Physical/security barrier,0,0,0,0.6729999999999999,0.6635358546170713,10.770953940414717
food_prep,2021-10-01,Food Preparation and Serving,0.2,0.25,0.75,0.07,Low cognitive; some automation,0,0,0,0.655,0.6572948261110102,10.789107061550629
building_grounds,2021-10-01,Building and Grounds Cleaning,0.18,0.3,0.7,0.03,Physical task barrier,0,0,0,0.6459999999999999,0.6276904229143468,10.677486862102505
personal_care,2021-10-01,Personal Care and Service,0.22,0.15,0.85,0.03,Interpersonal barrier,0,0,0,0.6729999999999999,0.6750375758457625,10.757113530075014
sales,2021-10-01,Sales and Related,0.55,0.4,0.6,0.09,Mixed automation/augmentation,0,1,0,0.6279999999999999,0.649154628651373,10.766393994467741
office_admin,2021-10-01,Office and Administrative Support,0.75,0.55,0.45,0.12,High displacement risk (World Bank 2025),0,1,0,0.601,0.6178501018537906,10.851358613327333
farming,2021-10-01,Farming Fishing Forestry,0.15,0.2,0.8,0.01,Physical outdoor work,0,0,0,0.6639999999999999,0.6618638859788274,10.696809242548506
construction,2021-10-01,Construction and Extraction,0.2,0.25,0.75,0.05,Physical task barrier,0,0,0,0.655,0.6462513582550058,10.859414129011412
installation,2021-10-01,Installation Maintenance Repair,0.25,0.2,0.8,0.04,Skilled manual work,0,0,0,0.6639999999999999,0.6802759506356458,10.712571248951267
production,2021-10-01,Production,0.35,0.45,0.55,0.06,Manufacturing automation exposure,0,0,0,0.619,0.5934654871652746,10.782464567896968
transportation,2021-10-01,Transportation and Material Moving,0.3,0.4,0.6,0.08,Mixed; logistics automation,0,0,0,0.6279999999999999,0.6093493269252692,10.755140656740494
management,2021-11-01,Management,0.72,0.35,0.65,0.06,Eloundou et al. 2023; high cognitive exposure,0,1,0,0.637,0.6508853981691108,10.85906143754402
business_financial,2021-11-01,Business and Financial,0.78,0.4,0.6,0.06,IMF 2024 advanced economy exposure,0,1,0,0.6279999999999999,0.5808745992432339,10.82479580391557
computer_math,2021-11-01,Computer and Mathematical,0.85,0.25,0.75,0.04,High exposure; augmentation-dominant,0,1,0,0.655,0.6228288683432993,10.91630645644503
architecture_engineering,2021-11-01,Architecture and Engineering,0.68,0.3,0.7,0.02,STEM augmentation pattern,0,1,0,0.6459999999999999,0.6327027299551234,10.81139966570185
life_physical_social,2021-11-01,Life Physical and Social Science,0.55,0.25,0.75,0.01,Research augmentation,0,1,0,0.655,0.5952225578586741,10.864611032096409
community_social,2021-11-01,Community and Social Service,0.35,0.15,0.85,0.02,Human interaction barrier,0,0,0,0.6729999999999999,0.6910233701944849,10.81895498716764
legal,2021-11-01,Legal,0.8,0.45,0.55,0.01,High LLM task exposure,0,1,0,0.619,0.6303809481478406,10.836797832387917
education,2021-11-01,Education Training Library,0.45,0.2,0.8,0.06,Partial automation; strong complementarity,0,0,0,0.6639999999999999,0.6578274852297042,10.764163404571965
arts_media,2021-11-01,Arts Design Entertainment Media,0.6,0.35,0.65,0.02,Generative AI exposure,0,1,0,0.637,0.6546987717771715,10.824743510731397
healthcare_practitioners,2021-11-01,Healthcare Practitioners,0.4,0.1,0.9,0.06,Low substitution; high complementarity,0,0,0,0.6819999999999999,0.6657387148658925,10.681909286234887
healthcare_support,2021-11-01,Healthcare Support,0.3,0.2,0.8,0.03,Physical + interpersonal tasks,0,0,0,0.6639999999999999,0.6649726747296003,10.731127230866258
protective_service,2021-11-01,Protective Service,0.25,0.15,0.85,0.02,Physical/security barrier,0,0,0,0.6729999999999999,0.6626498283089506,10.778012270519094
food_prep,2021-11-01,Food Preparation and Serving,0.2,0.25,0.75,0.07,Low cognitive; some automation,0,0,0,0.655,0.6426822247398707,10.747519968264312
building_grounds,2021-11-01,Building and Grounds Cleaning,0.18,0.3,0.7,0.03,Physical task barrier,0,0,0,0.6459999999999999,0.6540623473231131,10.644480158226699
personal_care,2021-11-01,Personal Care and Service,0.22,0.15,0.85,0.03,Interpersonal barrier,0,0,0,0.6729999999999999,0.6841969701016842,10.738227504180086
sales,2021-11-01,Sales and Related,0.55,0.4,0.6,0.09,Mixed automation/augmentation,0,1,0,0.6279999999999999,0.6536090283854706,10.79192538992141
office_admin,2021-11-01,Office and Administrative Support,0.75,0.55,0.45,0.12,High displacement risk (World Bank 2025),0,1,0,0.601,0.6004900449139686,10.79862114163187
farming,2021-11-01,Farming Fishing Forestry,0.15,0.2,0.8,0.01,Physical outdoor work,0,0,0,0.6639999999999999,0.6520392258398927,10.730499888291755
construction,2021-11-01,Construction and Extraction,0.2,0.25,0.75,0.05,Physical task barrier,0,0,0,0.655,0.6276960303681333,10.761511993154764
installation,2021-11-01,Installation Maintenance Repair,0.25,0.2,0.8,0.04,Skilled manual work,0,0,0,0.6639999999999999,0.6364431077551558,10.707073110337681
production,2021-11-01,Production,0.35,0.45,0.55,0.06,Manufacturing automation exposure,0,0,0,0.619,0.6074100651622105,10.775675811324469
transportation,2021-11-01,Transportation and Material Moving,0.3,0.4,0.6,0.08,Mixed; logistics automation,0,0,0,0.6279999999999999,0.6106705810663693,10.716223482465333
management,2021-12-01,Management,0.72,0.35,0.65,0.06,Eloundou et al. 2023; high cognitive exposure,0,1,0,0.637,0.6470218332874819,10.858077725687018
business_financial,2021-12-01,Business and Financial,0.78,0.4,0.6,0.06,IMF 2024 advanced economy exposure,0,1,0,0.6279999999999999,0.6089757953832948,10.84753551549279
computer_math,2021-12-01,Computer and Mathematical,0.85,0.25,0.75,0.04,High exposure; augmentation-dominant,0,1,0,0.655,0.6688552840715871,10.848738531740933
architecture_engineering,2021-12-01,Architecture and Engineering,0.68,0.3,0.7,0.02,STEM augmentation pattern,0,1,0,0.6459999999999999,0.626590379354363,10.761989417880294
life_physical_social,2021-12-01,Life Physical and Social Science,0.55,0.25,0.75,0.01,Research augmentation,0,1,0,0.655,0.635934773997369,10.791141033329055
community_social,2021-12-01,Community and Social Service,0.35,0.15,0.85,0.02,Human interaction barrier,0,0,0,0.6729999999999999,0.6655454078749731,10.792535187426846
legal,2021-12-01,Legal,0.8,0.45,0.55,0.01,High LLM task exposure,0,1,0,0.619,0.6455721986182376,10.84221333073929
education,2021-12-01,Education Training Library,0.45,0.2,0.8,0.06,Partial automation; strong complementarity,0,0,0,0.6639999999999999,0.6023281680804278,10.785452563192623
arts_media,2021-12-01,Arts Design Entertainment Media,0.6,0.35,0.65,0.02,Generative AI exposure,0,1,0,0.637,0.6317406070161966,10.785230479123237
healthcare_practitioners,2021-12-01,Healthcare Practitioners,0.4,0.1,0.9,0.06,Low substitution; high complementarity,0,0,0,0.6819999999999999,0.6818620972626391,10.791072009277105
healthcare_support,2021-12-01,Healthcare Support,0.3,0.2,0.8,0.03,Physical + interpersonal tasks,0,0,0,0.6639999999999999,0.6652380134250648,10.730215650642522
protective_service,2021-12-01,Protective Service,0.25,0.15,0.85,0.02,Physical/security barrier,0,0,0,0.6729999999999999,0.6681594096413205,10.712809945274868
food_prep,2021-12-01,Food Preparation and Serving,0.2,0.25,0.75,0.07,Low cognitive; some automation,0,0,0,0.655,0.6354250366203169,10.816195069941786
building_grounds,2021-12-01,Building and Grounds Cleaning,0.18,0.3,0.7,0.03,Physical task barrier,0,0,0,0.6459999999999999,0.6647053762364918,10.702924885013351
personal_care,2021-12-01,Personal Care and Service,0.22,0.15,0.85,0.03,Interpersonal barrier,0,0,0,0.6729999999999999,0.632756936295223,10.78613877084012
sales,2021-12-01,Sales and Related,0.55,0.4,0.6,0.09,Mixed automation/augmentation,0,1,0,0.6279999999999999,0.6156374368606687,10.819276184118339
office_admin,2021-12-01,Office and Administrative Support,0.75,0.55,0.45,0.12,High displacement risk (World Bank 2025),0,1,0,0.601,0.608882496223716,10.859405897760187
farming,2021-12-01,Farming Fishing Forestry,0.15,0.2,0.8,0.01,Physical outdoor work,0,0,0,0.6639999999999999,0.613803409015539,10.752950856066573
construction,2021-12-01,Construction and Extraction,0.2,0.25,0.75,0.05,Physical task barrier,0,0,0,0.655,0.6606544812641489,10.696113790989562
installation,2021-12-01,Installation Maintenance Repair,0.25,0.2,0.8,0.04,Skilled manual work,0,0,0,0.6639999999999999,0.6380278705664033,10.752082248755201
production,2021-12-01,Production,0.35,0.45,0.55,0.06,Manufacturing automation exposure,0,0,0,0.619,0.6134123248131966,10.789143760171951
transportation,2021-12-01,Transportation and Material Moving,0.3,0.4,0.6,0.08,Mixed; logistics automation,0,0,0,0.6279999999999999,0.6213245086841229,10.699876668457957
management,2022-01-01,Management,0.72,0.35,0.65,0.06,Eloundou et al. 2023; high cognitive exposure,0,1,0,0.637,0.6450134730646552,10.820008627018794
business_financial,2022-01-01,Business and Financial,0.78,0.4,0.6,0.06,IMF 2024 advanced economy exposure,0,1,0,0.6279999999999999,0.6237395414512156,10.760518784477041
computer_math,2022-01-01,Computer and Mathematical,0.85,0.25,0.75,0.04,High exposure; augmentation-dominant,0,1,0,0.655,0.6513249431485699,10.776574315281142
architecture_engineering,2022-01-01,Architecture and Engineering,0.68,0.3,0.7,0.02,STEM augmentation pattern,0,1,0,0.6459999999999999,0.6596688499029446,10.776205117770084
life_physical_social,2022-01-01,Life Physical and Social Science,0.55,0.25,0.75,0.01,Research augmentation,0,1,0,0.655,0.6661824902299102,10.815315882464807
community_social,2022-01-01,Community and Social Service,0.35,0.15,0.85,0.02,Human interaction barrier,0,0,0,0.6729999999999999,0.6592705587349592,10.76714214632127
legal,2022-01-01,Legal,0.8,0.45,0.55,0.01,High LLM task exposure,0,1,0,0.619,0.5892540661931829,10.821112785197124
education,2022-01-01,Education Training Library,0.45,0.2,0.8,0.06,Partial automation; strong complementarity,0,0,0,0.6639999999999999,0.6631943690738006,10.842290671011055
arts_media,2022-01-01,Arts Design Entertainment Media,0.6,0.35,0.65,0.02,Generative AI exposure,0,1,0,0.637,0.6024369130800225,10.835259112439113
healthcare_practitioners,2022-01-01,Healthcare Practitioners,0.4,0.1,0.9,0.06,Low substitution; high complementarity,0,0,0,0.6819999999999999,0.6500834394174083,10.68797112684804
healthcare_support,2022-01-01,Healthcare Support,0.3,0.2,0.8,0.03,Physical + interpersonal tasks,0,0,0,0.6639999999999999,0.6721462036242537,10.788709944103841
protective_service,2022-01-01,Protective Service,0.25,0.15,0.85,0.02,Physical/security barrier,0,0,0,0.6729999999999999,0.6853960524178926,10.799284201592535
food_prep,2022-01-01,Food Preparation and Serving,0.2,0.25,0.75,0.07,Low cognitive; some automation,0,0,0,0.655,0.651089877454495,10.79437192588899
building_grounds,2022-01-01,Building and Grounds Cleaning,0.18,0.3,0.7,0.03,Physical task barrier,0,0,0,0.6459999999999999,0.6562112970821853,10.738215391067724
personal_care,2022-01-01,Personal Care and Service,0.22,0.15,0.85,0.03,Interpersonal barrier,0,0,0,0.6729999999999999,0.669654053795775,10.757855557282328
sales,2022-01-01,Sales and Related,0.55,0.4,0.6,0.09,Mixed automation/augmentation,0,1,0,0.6279999999999999,0.6289686910480661,10.737050884377568
office_admin,2022-01-01,Office and Administrative Support,0.75,0.55,0.45,0.12,High displacement risk (World Bank 2025),0,1,0,0.601,0.613519357694998,10.690484354021232
farming,2022-01-01,Farming Fishing Forestry,0.15,0.2,0.8,0.01,Physical outdoor work,0,0,0,0.6639999999999999,0.6498152950753019,10.678156869484747
construction,2022-01-01,Construction and Extraction,0.2,0.25,0.75,0.05,Physical task barrier,0,0,0,0.655,0.6485063896581328,10.797975358633716
installation,2022-01-01,Installation Maintenance Repair,0.25,0.2,0.8,0.04,Skilled manual work,0,0,0,0.6639999999999999,0.6462797866008799,10.764173813119857
production,2022-01-01,Production,0.35,0.45,0.55,0.06,Manufacturing automation exposure,0,0,0,0.619,0.6403630646601207,10.826040788965424
transportation,2022-01-01,Transportation and Material Moving,0.3,0.4,0.6,0.08,Mixed; logistics automation,0,0,0,0.6279999999999999,0.6335746941748817,10.718529786781883
management,2022-02-01,Management,0.72,0.35,0.65,0.06,Eloundou et al. 2023; high cognitive exposure,0,1,0,0.637,0.6570345870436073,10.79329352072855
business_financial,2022-02-01,Business and Financial,0.78,0.4,0.6,0.06,IMF 2024 advanced economy exposure,0,1,0,0.6279999999999999,0.6422993199879863,10.839852259442484
computer_math,2022-02-01,Computer and Mathematical,0.85,0.25,0.75,0.04,High exposure; augmentation-dominant,0,1,0,0.655,0.6650405928003962,10.945493616608847
architecture_engineering,2022-02-01,Architecture and Engineering,0.68,0.3,0.7,0.02,STEM augmentation pattern,0,1,0,0.6459999999999999,0.650333122071258,10.762764006259648
life_physical_social,2022-02-01,Life Physical and Social Science,0.55,0.25,0.75,0.01,Research augmentation,0,1,0,0.655,0.6714312686479809,10.73039185975621
community_social,2022-02-01,Community and Social Service,0.35,0.15,0.85,0.02,Human interaction barrier,0,0,0,0.6729999999999999,0.6745764924545176,10.904800129163517
legal,2022-02-01,Legal,0.8,0.45,0.55,0.01,High LLM task exposure,0,1,0,0.619,0.6334664628304234,10.767296165210022
education,2022-02-01,Education Training Library,0.45,0.2,0.8,0.06,Partial automation; strong complementarity,0,0,0,0.6639999999999999,0.6616422567677688,10.788893344540924
arts_media,2022-02-01,Arts Design Entertainment Media,0.6,0.35,0.65,0.02,Generative AI exposure,0,1,0,0.637,0.6205316827519913,10.809257034942275
healthcare_practitioners,2022-02-01,Healthcare Practitioners,0.4,0.1,0.9,0.06,Low substitution; high complementarity,0,0,0,0.6819999999999999,0.6987550288212634,10.808288795880461
healthcare_support,2022-02-01,Healthcare Support,0.3,0.2,0.8,0.03,Physical + interpersonal tasks,0,0,0,0.6639999999999999,0.6872726373116081,10.796770109974394
protective_service,2022-02-01,Protective Service,0.25,0.15,0.85,0.02,Physical/security barrier,0,0,0,0.6729999999999999,0.6668293408114377,10.735121802588425
food_prep,2022-02-01,Food Preparation and Serving,0.2,0.25,0.75,0.07,Low cognitive; some automation,0,0,0,0.655,0.6775125015093314,10.741560438162237
building_grounds,2022-02-01,Building and Grounds Cleaning,0.18,0.3,0.7,0.03,Physical task barrier,0,0,0,0.6459999999999999,0.6595998875518614,10.745666692891822
personal_care,2022-02-01,Personal Care and Service,0.22,0.15,0.85,0.03,Interpersonal barrier,0,0,0,0.6729999999999999,0.6667009430901892,10.77980009348226
sales,2022-02-01,Sales and Related,0.55,0.4,0.6,0.09,Mixed automation/augmentation,0,1,0,0.6279999999999999,0.6046144317536295,10.847522597310247
office_admin,2022-02-01,Office and Administrative Support,0.75,0.55,0.45,0.12,High displacement risk (World Bank 2025),0,1,0,0.601,0.6077134486627624,10.852775856180816
farming,2022-02-01,Farming Fishing Forestry,0.15,0.2,0.8,0.01,Physical outdoor work,0,0,0,0.6639999999999999,0.653755739903561,10.64644726043927
construction,2022-02-01,Construction and Extraction,0.2,0.25,0.75,0.05,Physical task barrier,0,0,0,0.655,0.6094727457293778,10.809254956187598
installation,2022-02-01,Installation Maintenance Repair,0.25,0.2,0.8,0.04,Skilled manual work,0,0,0,0.6639999999999999,0.6871525423486543,10.803801719430032
production,2022-02-01,Production,0.35,0.45,0.55,0.06,Manufacturing automation exposure,0,0,0,0.619,0.621242160429565,10.763646767859864
transportation,2022-02-01,Transportation and Material Moving,0.3,0.4,0.6,0.08,Mixed; logistics automation,0,0,0,0.6279999999999999,0.6052530230243803,10.752529056939222
management,2022-03-01,Management,0.72,0.35,0.65,0.06,Eloundou et al. 2023; high cognitive exposure,0,1,0,0.637,0.6328245536875846,10.778731095937589
business_financial,2022-03-01,Business and Financial,0.78,0.4,0.6,0.06,IMF 2024 advanced economy exposure,0,1,0,0.6279999999999999,0.6167539500791124,10.90363263909715
computer_math,2022-03-01,Computer and Mathematical,0.85,0.25,0.75,0.04,High exposure; augmentation-dominant,0,1,0,0.655,0.6536969853411864,10.868047935131367
architecture_engineering,2022-03-01,Architecture and Engineering,0.68,0.3,0.7,0.02,STEM augmentation pattern,0,1,0,0.6459999999999999,0.671580199577569,10.829460758599351
life_physical_social,2022-03-01,Life Physical and Social Science,0.55,0.25,0.75,0.01,Research augmentation,0,1,0,0.655,0.6730864612368584,10.813458040245449
community_social,2022-03-01,Community and Social Service,0.35,0.15,0.85,0.02,Human interaction barrier,0,0,0,0.6729999999999999,0.6888823051533879,10.651440059833066
legal,2022-03-01,Legal,0.8,0.45,0.55,0.01,High LLM task exposure,0,1,0,0.619,0.58953912816188,10.905502850381998
education,2022-03-01,Education Training Library,0.45,0.2,0.8,0.06,Partial automation; strong complementarity,0,0,0,0.6639999999999999,0.6448376719880271,10.821436421322357
arts_media,2022-03-01,Arts Design Entertainment Media,0.6,0.35,0.65,0.02,Generative AI exposure,0,1,0,0.637,0.6529734380617055,10.822573606261958
healthcare_practitioners,2022-03-01,Healthcare Practitioners,0.4,0.1,0.9,0.06,Low substitution; high complementarity,0,0,0,0.6819999999999999,0.6864792969971493,10.772295416138006
healthcare_support,2022-03-01,Healthcare Support,0.3,0.2,0.8,0.03,Physical + interpersonal tasks,0,0,0,0.6639999999999999,0.6701111254540582,10.837306680493718
protective_service,2022-03-01,Protective Service,0.25,0.15,0.85,0.02,Physical/security barrier,0,0,0,0.6729999999999999,0.677476302165653,10.788606417704491
food_prep,2022-03-01,Food Preparation and Serving,0.2,0.25,0.75,0.07,Low cognitive; some automation,0,0,0,0.655,0.6687802347031169,10.780514137490083
building_grounds,2022-03-01,Building and Grounds Cleaning,0.18,0.3,0.7,0.03,Physical task barrier,0,0,0,0.6459999999999999,0.6473320012133317,10.733758919170622
personal_care,2022-03-01,Personal Care and Service,0.22,0.15,0.85,0.03,Interpersonal barrier,0,0,0,0.6729999999999999,0.6684702694337643,10.700220135034257
sales,2022-03-01,Sales and Related,0.55,0.4,0.6,0.09,Mixed automation/augmentation,0,1,0,0.6279999999999999,0.6422373461875371,10.740865439845285
office_admin,2022-03-01,Office and Administrative Support,0.75,0.55,0.45,0.12,High displacement risk (World Bank 2025),0,1,0,0.601,0.6243155020689737,10.858137437408924
farming,2022-03-01,Farming Fishing Forestry,0.15,0.2,0.8,0.01,Physical outdoor work,0,0,0,0.6639999999999999,0.6679100132266504,10.7687105288997
construction,2022-03-01,Construction and Extraction,0.2,0.25,0.75,0.05,Physical task barrier,0,0,0,0.655,0.6529236592446432,10.798384640048617
installation,2022-03-01,Installation Maintenance Repair,0.25,0.2,0.8,0.04,Skilled manual work,0,0,0,0.6639999999999999,0.672068051557807,10.741729142219372
production,2022-03-01,Production,0.35,0.45,0.55,0.06,Manufacturing automation exposure,0,0,0,0.619,0.5983022710144981,10.829324634500928
transportation,2022-03-01,Transportation and Material Moving,0.3,0.4,0.6,0.08,Mixed; logistics automation,0,0,0,0.6279999999999999,0.6189403534935038,10.755234064805656
management,2022-04-01,Management,0.72,0.35,0.65,0.06,Eloundou et al. 2023; high cognitive exposure,0,1,0,0.637,0.6316617925712016,10.830656669089976
business_financial,2022-04-01,Business and Financial,0.78,0.4,0.6,0.06,IMF 2024 advanced economy exposure,0,1,0,0.6279999999999999,0.6304896248253306,10.898756703033117
computer_math,2022-04-01,Computer and Mathematical,0.85,0.25,0.75,0.04,High exposure; augmentation-dominant,0,1,0,0.655,0.6580020303434005,10.823299682517469
architecture_engineering,2022-04-01,Architecture and Engineering,0.68,0.3,0.7,0.02,STEM augmentation pattern,0,1,0,0.6459999999999999,0.6316416500942117,10.746203533860099
life_physical_social,2022-04-01,Life Physical and Social Science,0.55,0.25,0.75,0.01,Research augmentation,0,1,0,0.655,0.6756318200059075,10.811185450857243
community_social,2022-04-01,Community and Social Service,0.35,0.15,0.85,0.02,Human interaction barrier,0,0,0,0.6729999999999999,0.6416084278040998,10.726928391794333
legal,2022-04-01,Legal,0.8,0.45,0.55,0.01,High LLM task exposure,0,1,0,0.619,0.6487812741653851,10.823180674499167
education,2022-04-01,Education Training Library,0.45,0.2,0.8,0.06,Partial automation; strong complementarity,0,0,0,0.6639999999999999,0.6663233830668969,10.790013019845093
arts_media,2022-04-01,Arts Design Entertainment Media,0.6,0.35,0.65,0.02,Generative AI exposure,0,1,0,0.637,0.6264280990357717,10.876063411671275
healthcare_practitioners,2022-04-01,Healthcare Practitioners,0.4,0.1,0.9,0.06,Low substitution; high complementarity,0,0,0,0.6819999999999999,0.7066942074824935,10.70334181051045
healthcare_support,2022-04-01,Healthcare Support,0.3,0.2,0.8,0.03,Physical + interpersonal tasks,0,0,0,0.6639999999999999,0.6712028518878034,10.741192354823728
protective_service,2022-04-01,Protective Service,0.25,0.15,0.85,0.02,Physical/security barrier,0,0,0,0.6729999999999999,0.6569928400281705,10.757621170062514
food_prep,2022-04-01,Food Preparation and Serving,0.2,0.25,0.75,0.07,Low cognitive; some automation,0,0,0,0.655,0.6281342860420039,10.750996033449681
building_grounds,2022-04-01,Building and Grounds Cleaning,0.18,0.3,0.7,0.03,Physical task barrier,0,0,0,0.6459999999999999,0.6366293901338228,10.797524970292832
personal_care,2022-04-01,Personal Care and Service,0.22,0.15,0.85,0.03,Interpersonal barrier,0,0,0,0.6729999999999999,0.6719200412574486,10.810720391144029
sales,2022-04-01,Sales and Related,0.55,0.4,0.6,0.09,Mixed automation/augmentation,0,1,0,0.6279999999999999,0.6423256045081709,10.744183260912006
office_admin,2022-04-01,Office and Administrative Support,0.75,0.55,0.45,0.12,High displacement risk (World Bank 2025),0,1,0,0.601,0.5829739585915207,10.863861506737672
farming,2022-04-01,Farming Fishing Forestry,0.15,0.2,0.8,0.01,Physical outdoor work,0,0,0,0.6639999999999999,0.622564325020398,10.806970075429307
construction,2022-04-01,Construction and Extraction,0.2,0.25,0.75,0.05,Physical task barrier,0,0,0,0.655,0.6729216045307173,10.739498827826116
installation,2022-04-01,Installation Maintenance Repair,0.25,0.2,0.8,0.04,Skilled manual work,0,0,0,0.6639999999999999,0.654253052060763,10.779526871146972
production,2022-04-01,Production,0.35,0.45,0.55,0.06,Manufacturing automation exposure,0,0,0,0.619,0.6208788945067706,10.74743865444398
transportation,2022-04-01,Transportation and Material Moving,0.3,0.4,0.6,0.08,Mixed; logistics automation,0,0,0,0.6279999999999999,0.6514832745990424,10.71451467297378
management,2022-05-01,Management,0.72,0.35,0.65,0.06,Eloundou et al. 2023; high cognitive exposure,0,1,0,0.637,0.6471973526039521,10.773480945328535
business_financial,2022-05-01,Business and Financial,0.78,0.4,0.6,0.06,IMF 2024 advanced economy exposure,0,1,0,0.6279999999999999,0.6444341682242295,10.807451760514308
computer_math,2022-05-01,Computer and Mathematical,0.85,0.25,0.75,0.04,High exposure; augmentation-dominant,0,1,0,0.655,0.6589367232698724,10.830755456894257
architecture_engineering,2022-05-01,Architecture and Engineering,0.68,0.3,0.7,0.02,STEM augmentation pattern,0,1,0,0.6459999999999999,0.6761668273308526,10.908111204556922
life_physical_social,2022-05-01,Life Physical and Social Science,0.55,0.25,0.75,0.01,Research augmentation,0,1,0,0.655,0.6582053015730482,10.74891554584998
